"","output","time"
"1",20.0521440190952,1
"2",21.3039237522386,2
"3",19.2000018830964,3
"4",19.2648475019819,4
"5",22.5303357948468,5
"6",22.2381373273742,6
"7",22.853008579112,7
"8",22.4424771690057,8
"9",21.5454964725086,9
"10",20.9382521453168,10
"11",22.3623316596153,11
"12",22.1112320430977,12
"13",21.8609257613886,13
"14",23.307489830207,14
"15",20.3837376810139,15
"16",22.8448249187352,16
"17",22.8905727563852,17
"18",22.9433164828164,18
"19",22.11914364057,19
"20",25.8833721959947,20
"21",22.4921274023642,21
"22",25.63956772932,22
"23",24.7749255450962,23
"24",22.9587697818016,24
"25",21.4675227862352,25
"26",21.5441201093734,26
"27",22.5297857958949,27
"28",21.4232525372582,28
"29",21.6381899342994,29
"30",24.6930837850973,30
"31",24.301727364769,31
"32",25.6261523659376,32
"33",21.8548932586426,33
"34",24.1500301920014,34
"35",23.8504322988002,35
"36",22.4385542267775,36
"37",22.3773930218766,37
"38",24.1910521200135,38
"39",21.254215819282,39
"40",22.3777240397903,40
"41",21.9790761457397,41
"42",21.1594569942043,42
"43",25.0606391544924,43
"44",26.1400358912613,44
"45",26.3838333716911,45
"46",26.3472507966227,46
"47",25.7586446471354,47
"48",24.0889136666852,48
"49",22.7564561812312,49
"50",24.5072132350033,50
"51",26.1891056031479,51
"52",26.0521355572117,52
"53",25.8027659827142,53
"54",26.3706725823009,54
"55",22.0223696028873,55
"56",24.8683836587379,56
"57",26.2767387412215,57
"58",27.2691179749572,58
"59",28.8997600377654,59
"60",25.8929556199455,60
"61",27.2151400726701,61
"62",26.1934088699627,62
"63",26.9616613031383,63
"64",25.7593486595789,64
"65",25.1657533991509,65
"66",26.4305954544713,66
"67",22.885907139285,67
"68",24.7024969633113,68
"69",26.5224980897525,69
"70",26.415021947739,70
"71",27.3497998041511,71
"72",26.7906689822269,72
"73",27.8023215016319,73
"74",26.5397526041402,74
"75",25.9651374754886,75
"76",28.1555843225836,76
"77",27.9870483629337,77
"78",30.3456279700535,78
"79",25.814159202457,79
"80",27.7117110270518,80
"81",25.5504688677406,81
"82",27.3506314821918,82
"83",25.1134380581656,83
"84",25.6059066811042,84
"85",29.6627006618909,85
"86",27.9641856083562,86
"87",28.5668783218514,87
"88",27.4024004700253,88
"89",29.3814175919971,89
"90",29.3160482098544,90
"91",31.5778758897687,91
"92",28.0761301100004,92
"93",27.7970224033145,93
"94",28.2947291802568,94
"95",27.7414042979266,95
"96",29.7640576388865,96
"97",29.2528753406847,97
"98",28.2883765112508,98
"99",28.1922546017882,99
"100",30.8437135158406,100
